transcript,entities
"that I'm saying let's create a task. It is not that we will not be closing the user story that that cannot be, these are the minimal tasks that, that is helping the, that would be going as a part of user story. Right","[[31, 35, 'Scrum'], [67, 74, 'Status'], [79, 89, 'Scrum'], [199, 209, 'Scrum']]"
"these are the minimal tasks that, that is helping the, that would be going as a part of user story.","[[22, 27, 'Scrum'], [88, 98, 'Scrum']]"
Right. So these are the tasks extra tasks.,"[[24, 29, 'Scrum'], [36, 41, 'Scrum']]"
"these are the tasks, extra tasks, even though they are saying that whatever updates they have given that goes according to the users story heading","[[14, 19, 'Scrum'], [27, 32, 'Scrum'], [76, 83, 'Status'], [127, 138, 'Scrum']]"
"these are the tasks, extra tasks, even though they are saying that whatever updates they have given that goes according to the users story heading","[[14, 19, 'Scrum'], [27, 32, 'Scrum'], [76, 83, 'Status'], [127, 138, 'Scrum']]"
"the user story heading, the summary of the user story, but creation of this features or the branch.","[[4, 14, 'Scrum'], [43, 53, 'Scrum']]"
"the branch, the naming, which you said that should be mentioned in a task. So once they complete it, for anyone who has created it, so for Divesh has created, so Avijit has created, once they created, just lets move the task to done.","[[69, 73, 'Scrum'], [139, 145, 'Person Name'], [162, 168, 'Person Name'], [228, 232, 'Status']]"
"So once they complete it, for anyone who has created it, so for Divesh has created, so Avijit has created, once they are created, lets move the task to done.","[[13, 21, 'Status'], [64, 70, 'Person Name'], [87, 93, 'Person Name'], [152, 156, 'Status']]"
So I will take this responsibility then. So let them work on their own user story. I  will create an user story on my name and I will create all these branches so that it will not effect them. So once these branches are created you guys can start pushing your codes,"[[71, 81, 'Scrum'], [101, 111, 'Scrum']]"
"Right, So once I am done with that I will ping in the group and then you guys can start pushing it. Right And make an habbit of pushing the code. Because if you are not pushing your code and your system gets some issue, then entire effort is gone. And also when you are working on the server which is suppose AWS, then either you have to use WINSCP or Cyberduck to send your data from your system to AWS, but instead of that if your entire code is in Bigbucket, then all you have to do is GIT Clone, and then that will be a super fast process and that will also help in future CI-CD pipeline making, so always make an habbit, whatever code you write, working code, even though it has some kind of errors just keep on pushing it. Okay? As of now we are in the R&D phase. But whatever you put in that is being very closely monitored by the ANTHEM team. ANd then that code passes two kind of test, one is the Blue Optima test and second is the Sonar Cube test. And if you guys are failing in those tests, then it affects your appraisal and multiple other things. So as of now we are in the starting phase, so that Blue Optima and Sonar Qube will not come. But after the march POC and Demo, once we get the funding and once we get the anthem managers assigned and multiple other things, then all these things will come into picture. So we are three months, so it is better to follow these habbits. True Thats it, from my side.","[[309, 312, 'Technical Platform'], [352, 361, 'Tool'], [342, 348, 'Tool'], [451, 460, 'Tool'], [489, 492, 'Tool']]"
"if  you are updating every time,  we follow the scrum rules, we follow everything, a daily update and daily comments or any, any impediments you are facing. Let us know. Don't keep it for tomorrow, whatever it is stopping, or you need any help from the team, let's discuss upfront and get it resolved. That's how we can go as a very smooth journey till March for the first demo.","[[48, 53, 'Scrum'], [129, 140, 'Status'], [91, 97, 'Status'], [188, 196, 'Date'], [213, 221, 'Status']]"
"Okay That's all for now, and now that we were having some other topics to discuss, going forward, maybe for the Sprint 0.","[[112, 120, 'Scrum']]"
"Let's have it. Usually, as I said, the sprint, the daily standup is supposed to be for 15 to 20 minutes only, if we are called as an effective team.","[[39, 45, 'Scrum'], [51, 64, 'Event']]"
the daily standup is supposed to be for 15 to 20 minutes only,"[[4, 17, 'Event']]"
"that's fine, we are extending our time next week also, we are fine, but, maybe from 27th onwards lets","[[84, 88, 'Date']]"
"make it a 20 minute only, give your updates very quickly.","[[36, 43, 'Status']]"
"just do whatever you are waiting for, what are you planning to do, so what you did in detail, we don't need it, you update the user story on that, in that way we can save some time","[[116, 122, 'Status'], [127, 137, 'Scrum']]"
"you update the user story on that, in that way we can save some time","[[4, 10, 'Status'], [15, 25, 'Scrum']]"
"Right. So what we can follow is, from 1 to 1:20, we will have this scrum meeting only give your updates. After 1:20 to 2, we will have a technical discussion where scrum meeting will be over. And anyone has anything to tell,  talk in details, any issues, then we can have that","[[67, 72, 'Scrum'], [164, 169, 'Scrum']]"
"Any sync up, any sync up thing you have, we can schedule a sync-up call among the developers and if needed, I will also join. And that's where you have to discuss the rest. Yeah.","[[4, 11, 'Event'], [17, 24, 'Event'], [59, 66, 'Event']]"
"One last thing before we move on. Hrisheek, Amit and Avijit. Please finish your mom generation today because Sarika and Nikita are waiting for those three files, then only they can start their work. Okay.  Okay. Sure.  Cool cool , Nice So I think that's it Sravanthi","[[34, 42, 'Person Name'], [44, 48, 'Person Name'], [53, 59, 'Person Name'], [109, 115, 'Person Name'], [95, 100, 'Date'], [120, 126, 'Person Name'], [257, 266, 'Person Name']]"
"Yeah, that's all from my end too. So thanks team, uh, for giving the update. It was more clear than yesterday. So I hope, it is not hope. I know we will be the better team. So by 27th, we'll be very crisp and clear.","[[69, 75, 'Status'], [179, 183, 'Date'], [100, 109, 'Date']]"
 And once Kajari is on the call she should be surprised by the way we are giving updates. Let's finetune ourselves and give the updates.  Perfect,"[[10, 16, 'Person Name']]"
sentiment analysis used right so it is again on anuj's name so we have two stories which we need to get an update from anuj I'll touch base.,"[[48, 54, 'Person Name'], [119, 123, 'Person Name'], [71, 82, 'Scrum']]"
With him. Yeah I'm here. Hey Anuj.,"[[29, 33, 'Person Name']]"
"Good good. So we, we were talking about the story which is in in-progress . You have two stories on your name. So you can provide the update for the both please.","[[44, 49, 'Scrum'], [62, 73, 'Status'], [85, 96, 'Scrum'], [134, 140, 'Status']]"
"No in-progress is only one right? Yeah, no in total","[[3, 14, 'Status']]"
they have two stories. So one is in in-progress and other is. Okay okay. Yeah.,"[[10, 21, 'Scrum'], [36, 47, 'Status']]"
So the testing one is tested.,"[[7, 14, 'Status'], [22, 28, 'Status']]"
The artifacts. I'll I'll. No I haven't but I'll attach it today.,"[[58, 63, 'Date']]"
Team who have already tested. The moment you attach your related artifacts when it moves to review.,"[[22, 28, 'Status'], [92, 98, 'Status']]"
See it will be easy task for himanshu to review it what exactly you have done,"[[29, 37, 'Person Name']]"
"If you don't provide any artifacts again himanshu will come back so that's nothing but you have to both your time will be you know extended, why do you want to do that? Right. So make sure. Ok I'll I'll. Since you have done update them here, attach the related story doc. Okay i'll attach it today. Okay fin. Yeah. What went wrong here. Okay let's move on to your in-progress story first.","[[41, 49, 'Person Name'], [224, 230, 'Status'], [261, 266, 'Scrum'], [292, 297, 'Date'], [364, 375, 'Status'], [376, 381, 'Scrum']]"
So uh if I remember correctly on Friday also it was with the same thing right?,"[[33, 39, 'Date']]"
Are you waiting for somebody to pitch in and you know you can take help from himanshu if you're not figuring able to figure out what  kind of an algorithm you can use here. Yeah.,"[[77, 85, 'Person Name']]"
Actually I had a call with him on Friday regarding this so. He he actually told me some of the algorithms I can use so I'm trying them maybe I'll have enough data. Okay. Yeah. No issues.,"[[34, 40, 'Date']]"
"Okay. No issues so yeah I hope today you'll be working on this right? Yeah, yeah. Okay I mean the testing part. Right so once these are in tested the most work","[[98, 105, 'Status'], [139, 145, 'Status']]"
"most work that would be moving to himanshu to review and then he will be moving in to done. So as a team can you please suggest, I mean uh few stories are in to do phase.","[[34, 42, 'Person Name'], [139, 150, 'Scrum'], [86, 90, 'Status'], [158, 163, 'Status']]"
and we are left with a week to complete our sprint.,"[[44, 50, 'Scrum']]"
"So uh I can see depending on your other project's work, I don't want to push it on you. But if you can pull some of the other stories which are on your name which are uh which doesn't have any dependency on the some tasks. Can you please name them so that we can move it to in progress? I guess this has some uh","[[126, 133, 'Scrum'], [274, 285, 'Status']]"
Yeah that I spoke to himanshu and he told. Avinash. Yes Avijit. Avijit sorry Avijit yes.,"[[21, 29, 'Person Name'], [43, 50, 'Person Name'], [56, 62, 'Person Name'], [64, 70, 'Person Name'], [77, 83, 'Person Name']]"
Okay by when uh by today you'd been owing an information on this? I have to speak with himanshu regarding that after that I'll confirm with you.,"[[19, 24, 'Date'], [87, 95, 'Person Name']]"
Okay thank you and we have and we have the other story which is on bhanu's name extraction of names. Uh yeah uh it's almost same as the other three extractions. I'll have a small discussion with himanshu and I'll update you by evening. Okay. Most probably uh we can move it anyways i will once talk to him and i'll update you.,"[[49, 54, 'Scrum'], [67, 74, 'Person Name'], [195, 203, 'Person Name']]"
"Okay cool thank you bhanu. And then we have this on uh himanshu's name I believe he has to uh move it to one of the assignee's conversion of code into functions, modules and classes. And, um dhanuj's name we have classification of type of meetings. Dhanuj you have any input on this?","[[20, 25, 'Person Name'], [55, 65, 'Person Name'], [191, 199, 'Person Name'], [249, 255, 'Person Name']]"
"Yeah himanshu suggested some few algorithms like uh but we are lack of training data. It's uh, Kajari said like uh the user will be inputting the uh meeitng type, so uh I just want to get some clarification regarding the data.","[[5, 13, 'Person Name'], [95, 101, 'Person Name']]"
The rest of the stories,"[[16, 23, 'Scrum']]"
"And once it is done we'll still have some time. If we have time we can continue, if not we can talk about it in our sync-up call. Okay alright then ping me I'll tell you","[[116, 123, 'Event']]"
"I believe this would be waiting for the rest of the stories to complete, again this would be uh going over or now? No no you don't need other stories to complete.","[[52, 59, 'Scrum'], [142, 149, 'Scrum'], [63, 71, 'Status'], [153, 161, 'Status']]"
"UI framework design, which should , which should be on suresh's name I believe right? Yeah uh Sravanthi.","[[55, 63, 'Person Name'], [94, 103, 'Person Name']]"
"Uh Sravanthi, so that I have requested few software so Kajari is evealuating so once it's done","[[3, 12, 'Person Name'], [55, 61, 'Person Name']]"
"Once it's done, then I have meeting set up with himanshu, then I can work on this. So. Okay.","[[48, 56, 'Person Name']]"
Will do it yeah because of I need the inputs from you and uh himanshu so then I can take it forward.,"[[61, 69, 'Person Name']]"
"Because the remember the discussions we had that, Nikita and Sarika, they are creating a cleaned up uh scripts. Those will be the hardcoded uh JSON for you and that is the JSON that you that you must finally uh creating. So for you having couple of those JSON's which is filled with already good results is should be enough to do the UI work. This way we can have two parallel transcripts.","[[50, 56, 'Person Name'], [61, 67, 'Person Name']]"
Sure sure uh Kajari,"[[13, 19, 'Person Name']]"
then we can take forward. Sure. Okay great so we have uh Sarika,"[[57, 63, 'Person Name']]"
"Sarika and Nikita also, can you please provide your updates as uh what what is been doing? From your, what have you done?","[[0, 6, 'Person Name'], [11, 17, 'Person Name']]"
"Yeah, hi Sravanthi. Hey. So uh, we were working on the audio files of 18th and 21st and 18th was taken care by Nikita and 21st I was uh doing and I finished and submitted to himanshu. So we found some uh observations which I recorded them in the word document and submitted to himanshu which will help uh the team or or uh just want to uh know like if i am reaching their expectations or if anything else i have to do from my end so i tried analysing the audio files where the machine is missing and uh what all uh to be added hmm uh and uh NER and Label, such kind of stuff i have uh worked on it, so uh i have submitted the excel the final output and the observation along with it. So i'm just looking forward for himanshu to get back to me hmm so that i will know","[[9, 18, 'Person Name'], [111, 117, 'Person Name'], [174, 182, 'Person Name'], [277, 285, 'Person Name'], [716, 724, 'Person Name']]"
"if i reached the team expectations or not. And then, Okay, yeah, it's really good Sarika.","[[82, 88, 'Person Name']]"
"And uh Nikita you have any updates from your end? Yes Hi Sravanthi, hey, can you hear me? Yeah yeah nikita please go ahead.","[[7, 13, 'Person Name'], [57, 66, 'Person Name'], [100, 106, 'Person Name']]"
Okay so yes I worked on the audio script of the 18th January.,"[[48, 60, 'Date']]"
" I observed a lot of um, um I have added. Nikita we lost you.","[[42, 48, 'Person Name']]"
"Uh can you hear me now? Yeah yeah yeah now it's fine. So yes I'm also expecting a revert from himansh regarding my performance and. Okay. I have tried under NER and Label as I have experienced multiple speakers speaking in the audio. So that's the challenge where i am facing uh i will try to work on it from the next audio files i'm going to receive. and yes, that's my update.","[[94, 101, 'Person Name']]"
Okay yeah thanks Nikita.,"[[17, 23, 'Person Name']]"
"Nikita. So team while working on the stories or any other thing related to work or any other thing you have any questions? Or is it, are there any impediments that is stopping your work? Any dependencies? We have 3 minutes left you can discuss if you're waiting for something you need any help. Uh hi Sravanthi.","[[0, 6, 'Person Name'], [37, 44, 'Scrum'], [147, 158, 'Scrum'], [167, 175, 'Scrum'], [191, 203, 'Scrum'], [301, 310, 'Person Name']]"
 Hey. Actually i haven't given my updates so uh hive. sorry your. hive 19. hive 19. So which story are you working? I'm sorry,"[[48, 52, 'Team Name'], [66, 73, 'Scrum'], [75, 82, 'Scrum']]"
"Who is speaking? So, Amit amit. Hey hi Amit Joshi.","[[21, 25, 'Person Name'], [26, 30, 'Person Name'], [39, 49, 'Person Name']]"
Amit Joshi. Right. Go ahead.,"[[0, 10, 'Person Name']]"
"Yeah so the complete transcript summary hive 19 uh the testing phase. Yes , yes, so actually uh my code crashed for uh one of the test case. Uh, I have to modify the code for that and regarding that I'll also connect with himanshu.","[[40, 47, 'Scrum'], [55, 62, 'Status'], [222, 230, 'Person Name']]"
"Okay. So team, I could see that there is lot of dependency on himanshu.","[[62, 70, 'Scrum']]"
"So, uh, let's make sure I'll make sure that himansu is in this call so that, um,","[[44, 51, 'Person Name']]"
you don't have to wait for an update. Okay and in the daily sync-up atleast if you can join uh it would be great uh for today. Yeah that's one thing any other uh thing the team would like to discuss here?,"[[30, 36, 'Status'], [60, 67, 'Event']]"
"Hi Sravanthi. Who is, yeah. Yeah hey hi","[[3, 12, 'Person Name']]"
"so yeah uh daily one person needs to create the manual transcript of that entire meeting. So on Friday, it was on me, so I spent lot of time in creating that so I didn't get time to work on the user story of mine","[[96, 102, 'Date'], [194, 204, 'Scrum']]"
Okay so how many hours are you spending on that particular task?,"[[59, 63, 'Scrum']]"
On Friday I spent almost 3 and a half hours.,"[[3, 9, 'Date']]"
Let me talk to himanshu uh that. Yes. If it is 3 and a half hours for 1 person,"[[15, 23, 'Person Name']]"
It will be it will be uh big task right? So let me talk with himanshu and also Kajari. So let's come up with something and uh we'll get back to you on this.okay yeah. Thanks Sravanthi. Okay,"[[61, 69, 'Person Name'], [79, 85, 'Person Name'], [174, 183, 'Person Name']]"
we'll get back to you on this.okay yeah. Thanks Sravanthi. Okay. Yeah thank you,"[[48, 57, 'Person Name']]"
"So any other. Hi Sravanthi. Yeah. Yeah so i. Yeah nikita. I wanted to ask regarding the training. Is there a category? Where we have to go and choose the training or the can we say anything from our side, what we want to build ourselves into?","[[17, 26, 'Person Name'], [50, 56, 'Person Name']]"
"Figure it out prioritize which are the more important ones. Okay Sravanthi, thank you, thank you, okay, thank you for the clarification.","[[65, 74, 'Person Name']]"
"Okay so we are 1 minute over, any other questions team? Hello guys sorry for joining late I show. Himanshu you will get a","[[98, 106, 'Person Name']]"
So the stand up uh okay let's you have 10 minutes more so we were you have any quick updates on the in-review. Because I believe team has lot of questions which we would be discussing in the sync up call but if you have when we have to talk about yeah the board related stories,"[[7, 15, 'Event'], [100, 109, 'Status'], [85, 92, 'Scrum'], [191, 198, 'Event'], [270, 277, 'Scrum']]"
Can you please update on these?which are in in-review.,"[[44, 53, 'Status'], [15, 21, 'Scrum']]"
"Yeah so this one uh the first one hive 22 so I guess the team needs to uh start comitting their code in the branches and uh if they are successfully able to commit it, then this can be done. This can be moved into done. If they are facing any issues then we'll see how what can be solved and so this in-review is pending from the team's side. Well this rev.ai vocabulary, so avinash have you added all your scripts and everything as attachments in this user story?","[[34, 41, 'Scrum'], [300, 309, 'Status'], [375, 382, 'Person Name'], [453, 463, 'Scrum'], [313, 320, 'Status'], [353, 359, 'Tool']]"
No I will add today by like after this call I will add.,"[[14, 19, 'Date']]"
Yeah because unless and until you don't I mean you add then only I can put it to done so. Yeah. Okay I will add yeah,"[[81, 85, 'Status']]"
"Uh Sravanthi and Himanshu, uh ok so uh himanshu is the product owner right?","[[3, 12, 'Person Name'], [17, 25, 'Person Name'], [39, 47, 'Person Name']]"
"Because uh what I believe is you know there are all some gaps here you don't have to put my name here maybe I will just add himanshu in the shadow himanshu in this. Uh you may not have to make formal. See, in the call also came a very small small understanding gaps here and there. So it may happen individually the modules are working well but together there are some tweaks.","[[124, 132, 'Person Name'], [147, 155, 'Person Name']]"
meaning to be done uh to to cover for those gaps that's why an end to end demo if we can do before we move to done,"[[107, 114, 'Status']]"
"Okay so that means, uh, for each, uh, particular user story, we need to see, uh, what, how exactly the things are going on in that. And if you are satisfied, then we can move it on to done right?","[[49, 59, 'Scrum']]"
"Correct so see what I understand is like in my previous company I was a product owner or product. My job is to see on the done. Because the way we were working there was a safe agile that's why I'm just sharing my thought because I don't know here, it will be a conflict. So we used to uh do safe agile epics, which means after sprint is done an end to end demo should work well. Because it's kind of that version, all the epics should be complete, it should not be half done. If that end to end demo is not working","[[122, 126, 'Status'], [303, 308, 'Scrum'], [177, 182, 'Scrum'], [297, 302, 'Scrum'], [328, 334, 'Scrum'], [338, 342, 'Scrum'], [423, 428, 'Scrum'], [466, 475, 'Status']]"
In the next sprint at the end there should be an end to end review . Layer by layer identically we're spending. Does it make sense?,"[[12, 18, 'Status']]"
Himanshu said if we have to go story by story. Uh so we do have a review before closing the whole sprint. We have a in-review and then so this is a story review which we are talking about.,"[[0, 8, 'Person Name'], [31, 36, 'Scrum'], [40, 45, 'Scrum'], [98, 104, 'Status'], [116, 125, 'Status'], [148, 153, 'Scrum']]"
about uh not the sprint review.,"[[17, 23, 'Scrum']]"
"This is just a story in which himanshu would be giving a feedback to the team, if they are missing something. Okay then i. It is not the sprint review, so we'll be having","[[15, 20, 'Scrum'], [30, 38, 'Person Name'], [137, 143, 'Scrum']]"
having a sprint review before we close the whole sprint we're not  keeping the sprint 0 we're not completing the sprint here,"[[9, 15, 'Scrum'], [49, 55, 'Scrum'], [79, 87, 'Scrum'], [113, 119, 'Scrum']]"
okay and at that time there will be an end to end demo. Yes. Yes yes so once the correct. So once the stories to done,"[[102, 109, 'Scrum'], [110, 117, 'Status']]"
" then we have an end to end review, end to end, sprint review call with I would be suggesting where I mean setting up there uh himanshu as a product manager or a product owner, he would be explaining what what has been done throughout the sprint 0. oh. and then we'll be closing the sprint.","[[48, 54, 'Scrum'], [127, 135, 'Person Name'], [239, 247, 'Scrum'], [271, 278, 'Status'], [283, 289, 'Scrum']]"
Yeah. This is only for a team to understand how they are doing in the story-wise. Okay. Yeah okay,"[[70, 80, 'Scrum']]"
"Yes uh himanshu, uh I'm not seeing any branches in the hive project.","[[7, 15, 'Person Name'], [55, 59, 'Team Name']]"
"the same bitbucket right? Yes yes. Okay so let's discuss that in the sync up call then. Yeah, okay.","[[69, 76, 'Event']]"
Thank you thank you Sravanthi. Thank you,"[[20, 29, 'Person Name']]"
"Thank you. Thank you. Thank you Sravanthi, yeah bye. Rest of the team say something. Good to hear. Thank you Sravanthi and Kajari.","[[32, 41, 'Person Name'], [109, 118, 'Person Name'], [123, 129, 'Person Name']]"
"Next we have this UI framework, wireframe design, UI wireframe design so that depends on whether Suresh's system is ready or not.","[[97, 105, 'Person Name']]"
"Suresh in the call? Uh yeah yeah. Yeah. Himanshu so today we have set up the call with uh Kajari, so regarding. Yeah.","[[0, 6, 'Person Name'], [40, 48, 'Person Name'], [90, 96, 'Person Name']]"
uh I have asked for few softwares so that uh Ankur has to update,"[[45, 50, 'Person Name'], [58, 64, 'Status']]"
"So hopefully will be today, the meeting is over.","[[21, 26, 'Date']]"
So we can start tomorrow or day after tomorrow. So can you parallely ping Ankur as well that uh if he can,"[[16, 24, 'Date'], [74, 79, 'Person Name'], [28, 46, 'Date']]"
No already I have dropped yeah already I have dropped the mail as well as so. Okay. In the mail I have looped with Kajari as well as so she. Nice nice. Will be,"[[115, 121, 'Person Name']]"
Checking with that yeah. Okay perfect. Yeah. So uh. I think uh Sravanthi. Yeah. This this user story may be get spilled over to sprint 2 because it is started very late and uh so yeah when the sprint is started at that time Suresh didn't have the laptop then he got the laptop. Correct. then installations admin and all these things so maybe this will go to the sprint 1 as well.,"[[63, 72, 'Person Name'], [112, 124, 'Scrum'], [128, 136, 'Scrum'], [193, 199, 'Scrum'], [224, 230, 'Date'], [362, 370, 'Scrum']]"
So what I'll do is I'll just push it back to backlog. Maybe yeah that.,"[[45, 52, 'Scrum']]"
"Okay? Will be fine. I'll just push it to backlog and then accordingly when the sprint 1 starts I'll uh we can uh move it to sprint 1.  correct yeah. Okay fine so this one is on me, fine I'll do that. So any other uh impediments or the team is waiting for any other stuff here? Uh, himanshu two things on me. One is uh to fix this. yes. so that you can move it to done. The workflow needs to be fixed and this this has to be moved to backlog Yeah okay so any other stuff team would like to come up here or ask ?","[[41, 48, 'Scrum'], [79, 87, 'Scrum'], [124, 132, 'Scrum'], [216, 227, 'Status'], [281, 289, 'Person Name'], [360, 367, 'Status'], [433, 440, 'Scrum']]"
"And also if you guys have any technical questions then we can have the sync up next call. Yeah. There is a question, otherwise we can uh cancel it for today so if does anyone has any question then let me know.","[[71, 78, 'Event'], [151, 156, 'Date']]"
So everyone is clear on what they're doing and they have no doubt right? team come up next time himanshu would say I asked but nobody said so,"[[96, 104, 'Person Name']]"
"So we can go for the sync call. We can skip the sync call or are you want to have you, no we can go uh","[[21, 30, 'Event'], [48, 57, 'Event']]"
"uh yeah my side is clear so, so you don't have any, rest of the team? No I have I have 6 oh clock meeting with Himanshu and Kajari. So I'll if I have anything I'll talk to them","[[111, 119, 'Person Name'], [124, 130, 'Person Name']]"
sarika and nikita? Yeah sravanthi,"[[0, 6, 'Person Name'], [11, 17, 'Person Name'], [24, 33, 'Person Name']]"
Sravanthi uh from my end uh I don't have any questions right now okay let uh let me see ig anything's uh team would like to give me on a sync up call so I'm just eager to join on other call now which we had scheduled right so,"[[0, 9, 'Person Name'], [137, 144, 'Event']]"
I'll wait for it. So okay fine so let's join the syncup call team might have some more things to uh so let's finish it off quickly if uh. Sure. if anybody is having any doubts they can talk there,"[[49, 55, 'Event']]"
Okay Sravanthi. Sure. Okay,"[[5, 14, 'Person Name']]"
"okay yeah thank you have a nice day. thank you thank you everyone. Thank you. Bye. Thank you Sravanthi, bye bye bye. Thank you everyone.","[[93, 102, 'Person Name']]"
So yesterday who's turn it was?,"[[3, 12, 'Date']]"
who's turn it was to uh create the MoM? And who's turn is today? I mean not yesterday,"[[58, 63, 'Date'], [76, 85, 'Date']]"
Monday one was mine that I know. Sorry yesterday only yeah. Tuesday was Republic day yeah so Monday was mine. Who's was Wednesday after me?,"[[0, 6, 'Date'], [39, 48, 'Date'], [60, 67, 'Date'], [93, 99, 'Date'], [120, 129, 'Date']]"
"And uh today. Sir It's actually Anuj, after you it is on Anuj yeah. Anuj you can start on the uh Wednesday meeting","[[7, 12, 'Date'], [32, 36, 'Person Name'], [57, 61, 'Person Name'], [68, 72, 'Person Name'], [97, 106, 'Person Name'], [107, 114, 'Event']]"
The meeting and uh,"[[4, 11, 'Event']]"
"Today? Anuj. Oh it's it's mine? Yesterday was yours. Today? Mine. Mine. Mine bhanu or avinash? Bhanu bhanu. Bhanu bhanu okay. So you guys can start today and uh I have also started not getting time to finish it, it's still going slow I'll also finish it. Parallely you guys also start. Okay okay. I'll share my screen let's start with the stand up  and then we'll move on to questions, which means technical questions. Okay. So let's just start with the testing.","[[7, 11, 'Person Name'], [32, 41, 'Date'], [53, 58, 'Date'], [0, 5, 'Date'], [77, 82, 'Person Name'], [86, 93, 'Person Name'], [95, 100, 'Person Name'], [101, 106, 'Person Name'], [108, 113, 'Person Name'], [114, 119, 'Person Name'], [148, 153, 'Date'], [339, 347, 'Event']]"
The last one. So it's complete transcript summary. Amit yeah I have tested it yeah.,"[[51, 55, 'Person Name'], [68, 74, 'Status']]"
References so you can pass it to tested,"[[33, 39, 'Status']]"
"so it's already in testing, so you have tested it? Yes","[[19, 26, 'Status'], [40, 46, 'Status']]"
Move it to tested then I will move it to in review,"[[11, 17, 'Status'], [41, 50, 'Status']]"
"So whatever test cases that you performed, uh, uh, Amit you also add.","[[51, 55, 'Person Name']]"
"Them that how you tested it and how you feel that it's working fine. Okay.? Just a comment yes. Is there any supporting document? Any accurate excel sheet or anything you want to attach, you can attach that as well. Yes I'll do. Perfect. So next is, uh, extraction of technologies being discussed. So","[[83, 90, 'Scrum'], [143, 154, 'Tool']]"
Um I knew bhanu I guess yeah,"[[10, 15, 'Person Name']]"
"Yeah, uh, mine, uh Divesh and, uh, dhanuj all three of us have tested it uh in for an excel sheet of transcript.","[[19, 25, 'Person Name'], [35, 41, 'Person Name'], [86, 97, 'Tool'], [63, 69, 'Status']]"
Okay so that means yours and hive 3 and hive 5 all are completed right?,"[[29, 33, 'Team Name'], [40, 44, 'Team Name'], [55, 64, 'Status']]"
"Yes from your side it's , completed in this. Upto hive, sorry. Hive 7 is completed right? Tested. Yeah yeah 3 and 7","[[50, 54, 'Team Name'], [63, 67, 'Team Name'], [73, 82, 'Status'], [90, 96, 'Status'], [26, 35, 'Status']]"
3 and 7 there are no comments here,"[[21, 29, 'Scrum']]"
uh I we'll update so this is in review yeah yeah,"[[29, 38, 'Status']]"
"we'll upload the, you guys have written. So I know that you guys have written a common code and you guys have uh incorporated all your code snippets into 1 function. But this is the individual story so","[[193, 198, 'Scrum']]"
"So what you specifically has done have done, you just comment on this and then how you have tested it","[[92, 98, 'Status'], [54, 61, 'Scrum']]"
you comment on this okay okay okay,"[[4, 11, 'Scrum']]"
I am putting it on tested first then I'm putting it on in-review.,"[[19, 25, 'Status'], [55, 64, 'Status']]"
my review ill not start until and unless you have updated your comments,"[[63, 71, 'Scrum']]"
or attached the supporting document as well okay okay. Divesh? Same goes with your user story as well?,"[[55, 61, 'Person Name'], [83, 93, 'Scrum']]"
Yes himanshu. Actually I have created the code in bitbucket and I put some cse file sheet cse file going to check,"[[50, 59, 'Technical Platform'], [4, 12, 'Person Name']]"
"need to check, so uh so today I add","[[24, 29, 'Date']]"
today I add some code in that main function to convert the output to JSON so after the stand up I will update on that so I will again push,"[[0, 5, 'Date'], [87, 95, 'Event']]"
the code un bitbucket. Okay so attach uh whatever is in the output or whatever,"[[12, 21, 'Technical Platform']]"
whatever you want with the comment. Okay? Sure.,"[[27, 34, 'Scrum']]"
"Sure himanshu. Even though the function is almost same, but you guys are able to extract tools and whatever is your individual user story using that function right? Yes . Because why I am asking this is because when the sprint review call will take place even though you have written this common function, but suppose dovesh, you will have to pass the","[[127, 137, 'Scrum'], [5, 13, 'Person Name'], [220, 238, 'Event'], [318, 324, 'Person Name']]"
which contains the tool and the function should extract that. Similarly goes with bhanu and same goes with uh uh,"[[82, 87, 'Person Name']]"
Dhanuh as well,"[[0, 6, 'Person Name']]"
after the stand up call I will update this. Sure sure,"[[10, 23, 'Event']]"
Let's come to Hrisheek.So meeting set up date and time extraction and classification.,"[[14, 22, 'Person Name']]"
"Uh yes sir so, actually there are I have added the comments and attached the code so what is now currently I am like in excels I am uh running on the test cases and uh there were some exceptions there. So I am mentioning that in excel and I will attach that document today","[[51, 59, 'Scrum'], [120, 126, 'Tool'], [229, 234, 'Tool'], [267, 272, 'Date']]"
And I will push the codes by end of the day Yeah yes sir,"[[29, 43, 'Date']]"
one or two exceptions I know about so uh those exceptions are a little complex side so we you should not uh work on it. Uh so you just add those execpetions as a comment here while others,"[[162, 169, 'Scrum']]"
"Uh so you just add those execpetions as a comment here while others other exceptions you put It there uh if it can be done in this sprint or the first 3 sprints, I will put it back to in-progress. Otherwise I will move to in-review. Okay?","[[42, 49, 'Scrum'], [131, 137, 'Scrum'], [153, 160, 'Scrum'], [184, 195, 'Status'], [222, 231, 'Status']]"
"it can be done in this sprint or the first 3 sprints, I will put it back to in-progress.","[[23, 29, 'Scrum'], [45, 52, 'Scrum'], [76, 87, 'Status']]"
Uh I am putting it in in-review but. Okay you have to add comments okay? What are the test cases? Which are execptions? Okay sir I will add,"[[22, 31, 'Status'], [58, 66, 'Scrum']]"
Yeah next is anuj. Uh yes sir uh I'll I mean I'm done with the code I've tested it I'll be uploading the file's output and then what I have provided the manual input. Okay,"[[13, 17, 'Person Name'], [73, 79, 'Status']]"
